"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit","Param: ordinalLoc","Param: randSeed","Param: size"
"perspective.circederivation.DecodeProductBenchmarks.decodePerspectiveFaster:·gc.alloc.rate","avgt",1,30,3655.995553,108.504746,"MB/sec",,1234,23
"perspective.circederivation.DecodeProductBenchmarks.decodePerspectiveFaster:·gc.alloc.rate.norm","avgt",1,30,2349.333427,12.813423,"B/op",,1234,23
"perspective.circederivation.DecodeProductBenchmarks.decodePerspectiveFaster:·gc.count","avgt",1,30,896.000000,NaN,"counts",,1234,23
"perspective.circederivation.DecodeProductBenchmarks.decodePerspectiveFaster:·gc.time","avgt",1,30,1290.000000,NaN,"ms",,1234,23
"perspective.circederivation.DecodeProductBenchmarks.decodePerspectiveFaster","avgt",1,30,1280.543250,14.148063,"ns/op",,1234,50
"perspective.circederivation.DecodeProductBenchmarks.decodePerspectiveFaster:·gc.alloc.rate","avgt",1,30,3647.109402,40.245037,"MB/sec",,1234,50
"perspective.circederivation.DecodeProductBenchmarks.decodePerspectiveFaster:·gc.alloc.rate.norm","avgt",1,30,4896.000195,0.000282,"B/op",,1234,50
"perspective.circederivation.DecodeProductBenchmarks.decodePerspectiveFaster:·gc.count","avgt",1,30,895.000000,NaN,"counts",,1234,50
"perspective.circederivation.DecodeProductBenchmarks.decodePerspectiveFaster:·gc.time","avgt",1,30,1289.000000,NaN,"ms",,1234,50
"perspective.circederivation.DecodeProductBenchmarks.decodePerspectiveFaster","avgt",1,30,2567.749166,139.987063,"ns/op",,1234,75
"perspective.circederivation.DecodeProductBenchmarks.decodePerspectiveFaster:·gc.alloc.rate","avgt",1,30,2732.028085,138.975275,"MB/sec",,1234,75
"perspective.circederivation.DecodeProductBenchmarks.decodePerspectiveFaster:·gc.alloc.rate.norm","avgt",1,30,7312.000391,7.688076,"B/op",,1234,75
"perspective.circederivation.DecodeProductBenchmarks.decodePerspectiveFaster:·gc.count","avgt",1,30,669.000000,NaN,"counts",,1234,75
"perspective.circederivation.DecodeProductBenchmarks.decodePerspectiveFaster:·gc.time","avgt",1,30,980.000000,NaN,"ms",,1234,75
"perspective.circederivation.DecodeProductBenchmarks.decodePerspectiveInline","avgt",1,30,26.527723,0.055047,"ns/op",,1234,1
"perspective.circederivation.DecodeProductBenchmarks.decodePerspectiveInline:·gc.alloc.rate","avgt",1,30,6902.271413,14.305753,"MB/sec",,1234,1
"perspective.circederivation.DecodeProductBenchmarks.decodePerspectiveInline:·gc.alloc.rate.norm","avgt",1,30,192.000004,0.000006,"B/op",,1234,1
"perspective.circederivation.DecodeProductBenchmarks.decodePerspectiveInline:·gc.count","avgt",1,30,1690.000000,NaN,"counts",,1234,1
"perspective.circederivation.DecodeProductBenchmarks.decodePerspectiveInline:·gc.time","avgt",1,30,2428.000000,NaN,"ms",,1234,1
"perspective.circederivation.DecodeProductBenchmarks.decodePerspectiveInline","avgt",1,30,124.427444,5.091298,"ns/op",,1234,5
"perspective.circederivation.DecodeProductBenchmarks.decodePerspectiveInline:·gc.alloc.rate","avgt",1,30,4614.748283,182.640826,"MB/sec",,1234,5
"perspective.circederivation.DecodeProductBenchmarks.decodePerspectiveInline:·gc.alloc.rate.norm","avgt",1,30,600.000019,0.000027,"B/op",,1234,5
"perspective.circederivation.DecodeProductBenchmarks.decodePerspectiveInline:·gc.count","avgt",1,30,1131.000000,NaN,"counts",,1234,5
"perspective.circederivation.DecodeProductBenchmarks.decodePerspectiveInline:·gc.time","avgt",1,30,1636.000000,NaN,"ms",,1234,5
"perspective.circederivation.DecodeProductBenchmarks.decodePerspectiveInline","avgt",1,30,214.962037,8.168576,"ns/op",,1234,10
"perspective.circederivation.DecodeProductBenchmarks.decodePerspectiveInline:·gc.alloc.rate","avgt",1,30,4841.313318,177.094622,"MB/sec",,1234,10
"perspective.circederivation.DecodeProductBenchmarks.decodePerspectiveInline:·gc.alloc.rate.norm","avgt",1,30,1088.000033,0.000047,"B/op",,1234,10
"perspective.circederivation.DecodeProductBenchmarks.decodePerspectiveInline:·gc.count","avgt",1,30,1185.000000,NaN,"counts",,1234,10
"perspective.circederivation.DecodeProductBenchmarks.decodePerspectiveInline:·gc.time","avgt",1,30,1716.000000,NaN,"ms",,1234,10
"perspective.circederivation.DecodeProductBenchmarks.decodePerspectiveInline","avgt",1,30,518.815663,4.729747,"ns/op",,1234,22
"perspective.circederivation.DecodeProductBenchmarks.decodePerspectiveInline:·gc.alloc.rate","avgt",1,30,4250.499475,38.867573,"MB/sec",,1234,22
"perspective.circederivation.DecodeProductBenchmarks.decodePerspectiveInline:·gc.alloc.rate.norm","avgt",1,30,2312.000079,0.000114,"B/op",,1234,22
