"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit","Param: ordinalLoc","Param: randSeed","Param: size"
"perspective.circederivation.EncodeSumBenchmarks.encodePerspectiveFaster:·gc.alloc.rate.norm","avgt",1,30,720.000017,0.000025,"B/op",LAST,1234,22
"perspective.circederivation.EncodeSumBenchmarks.encodePerspectiveFaster:·gc.count","avgt",1,30,1474.000000,NaN,"counts",LAST,1234,22
"perspective.circederivation.EncodeSumBenchmarks.encodePerspectiveFaster:·gc.time","avgt",1,30,2124.000000,NaN,"ms",LAST,1234,22
"perspective.circederivation.EncodeSumBenchmarks.encodePerspectiveFaster","avgt",1,30,114.350424,7.942353,"ns/op",LAST,1234,23
"perspective.circederivation.EncodeSumBenchmarks.encodePerspectiveFaster:·gc.alloc.rate","avgt",1,30,6352.903425,394.006474,"MB/sec",LAST,1234,23
"perspective.circederivation.EncodeSumBenchmarks.encodePerspectiveFaster:·gc.alloc.rate.norm","avgt",1,30,754.666684,2.562686,"B/op",LAST,1234,23
"perspective.circederivation.EncodeSumBenchmarks.encodePerspectiveFaster:·gc.count","avgt",1,30,1557.000000,NaN,"counts",LAST,1234,23
"perspective.circederivation.EncodeSumBenchmarks.encodePerspectiveFaster:·gc.time","avgt",1,30,2253.000000,NaN,"ms",LAST,1234,23
"perspective.circederivation.EncodeSumBenchmarks.encodePerspectiveFaster","avgt",1,30,109.320730,1.097191,"ns/op",LAST,1234,50
"perspective.circederivation.EncodeSumBenchmarks.encodePerspectiveFaster:·gc.alloc.rate","avgt",1,30,6165.926032,67.979234,"MB/sec",LAST,1234,50
"perspective.circederivation.EncodeSumBenchmarks.encodePerspectiveFaster:·gc.alloc.rate.norm","avgt",1,30,706.666683,2.562685,"B/op",LAST,1234,50
"perspective.circederivation.EncodeSumBenchmarks.encodePerspectiveFaster:·gc.count","avgt",1,30,1511.000000,NaN,"counts",LAST,1234,50
"perspective.circederivation.EncodeSumBenchmarks.encodePerspectiveFaster:·gc.time","avgt",1,30,2177.000000,NaN,"ms",LAST,1234,50
